            =================================================================
                             Relaxing the nuclear positions:                   
            =================================================================
  
  ITER           E [au]                        DE [au]                     <|F|> [au]                      DR [au]
   0   -0.76426847556890635360E+02   -0.76426847556890635360E+02    0.10513768242798746111E-01    0.21473166508706592603E-02
   1   -0.76426459387292808856E+02    0.38816959782650428679E-03    0.11687017486387717494E-01    0.23636442031943379061E-02
   2   -0.76426884241870681080E+02   -0.42485457787222458137E-03    0.10384590959773608645E-01    0.21472230009177972754E-02
   3   -0.76427225621997749272E+02   -0.34138012706819154118E-03    0.92272146970957258372E-02    0.19106051499435464103E-02
   4   -0.76427494209569360351E+02   -0.26858757161107860156E-03    0.82178077384261472016E-02    0.17654552694335628928E-02
   5   -0.76427713524954725699E+02   -0.21931538536534844752E-03    0.73019170011333926415E-02    0.15952300678990800203E-02
   6   -0.76427888254944207347E+02   -0.17472998948164786270E-03    0.64879473146569098876E-02    0.13854541542066833859E-02
   7   -0.76428022268871501410E+02   -0.13401392729406325088E-03    0.57914297676065424128E-02    0.12729117355407756906E-02
   8   -0.76428130807258710888E+02   -0.10853838720947805996E-03    0.51599222016643370853E-02    0.11743654034177051886E-02
   9   -0.76428218809437908021E+02   -0.88002179197133045818E-04    0.45843796194165219518E-02    0.10554249671535982126E-02
  10   -0.76428288070294414069E+02   -0.69260856506048185111E-04    0.40728882524894089237E-02    0.94748479136640866623E-03
  11   -0.76428342399007462404E+02   -0.54328713048334975610E-04    0.36183182713081045966E-02    0.84974815581987425250E-03
  12   -0.76428384836610945285E+02   -0.42437603482881058881E-04    0.32143250340172010299E-02    0.76139728248951455639E-03
  13   -0.76428417903931560318E+02   -0.33067320615032258502E-04    0.28552718724234055908E-02    0.68167297769353922109E-03
  14   -0.76428443479446897868E+02   -0.25575515337550314143E-04    0.25361695563844159802E-02    0.60984521743829298371E-03
  15   -0.76428463186909596061E+02   -0.19707462698193012329E-04    0.22525713842412057805E-02    0.54177360592249507176E-03
  16   -0.76428478325421508544E+02   -0.15138511912482499611E-04    0.20021076367739316926E-02    0.48751992623362089448E-03
  17   -0.76428489857934593488E+02   -0.11532513084944184811E-04    0.17779354619912801031E-02    0.43531367802374109927E-03
  18   -0.76428498573203043520E+02   -0.87152684500324539840E-05    0.15787210653682673834E-02    0.38860115093046981123E-03
  19   -0.76428505072462314729E+02   -0.64992592712087571272E-05    0.14016483857149221546E-02    0.34670705251521540154E-03
  20   -0.76428509935694037836E+02   -0.48632317231067645480E-05    0.12442540929274181240E-02    0.30918912539076002805E-03
  21   -0.76428513436275181903E+02   -0.35005811440669276635E-05    0.11044056831032375305E-02    0.27566503235499403412E-03
  22   -0.76428515914029205192E+02   -0.24777540232889805338E-05    0.98012533270198562950E-03    0.24569092602415635012E-03
  23   -0.76428517603567030392E+02   -0.16895378252002046793E-05    0.86967413270214860826E-03    0.21891848780293459505E-03
  24   -0.76428518759966024732E+02   -0.11563989943397245952E-05    0.77151648754454399317E-03    0.19501495713031949983E-03
  25   -0.76428519483533335688E+02   -0.72356731095624127192E-06    0.68429160063728552543E-03    0.17368619223589074302E-03
  26   -0.76428519874810675105E+02   -0.39127733941768383374E-06    0.60678195314728085915E-03    0.15466252320112225567E-03
  27   -0.76428520011704989656E+02   -0.13689431455077283317E-06    0.53791038416149802772E-03    0.13770249661448072994E-03
  28   -0.76428519999053079914E+02    0.12651909742089628708E-07    0.47671358822459568814E-03    0.12258714546517097944E-03
  29   -0.76428519852065250006E+02    0.14698782990762992995E-06    0.42233740463661870483E-03    0.10911989525958859992E-03
  30   -0.76428519621133716555E+02    0.23093153345143946353E-06    0.37402620210985946083E-03    0.97125088753452574466E-04
  31   -0.76428519359916109011E+02    0.26121760754449496744E-06    0.33110078886419941173E-03    0.86443967597655047333E-04
  32   -0.76428519421292179459E+02   -0.61376070448204700369E-07    0.29295921794136831973E-03    0.76923804251695482412E-04
  33   -0.76428519099467337128E+02    0.32182484233089780901E-06    0.25909312918083541579E-03    0.68474275052946925952E-04
  34   -0.76428518776540656177E+02    0.32292668095124099636E-06    0.22900687471819858548E-03    0.60945607933156255992E-04
  35   -0.76428518462625675056E+02    0.31391498112043336732E-06    0.20228540154142320476E-03    0.54248419928259435172E-04
  36   -0.76428518169074990851E+02    0.29355068420500174398E-06    0.17855258471976786475E-03    0.48285509272364523353E-04
  37   -0.76428517881711826476E+02    0.28736316437516506994E-06    0.15748491713441222319E-03    0.42996454468924190362E-04
  38   -0.76428517613926373997E+02    0.26778545247907459270E-06    0.13877888985983113088E-03    0.38290460604787554522E-04
  39   -0.76428517363986301802E+02    0.24994007219447667012E-06    0.12217496902208754644E-03    0.34107720337268468750E-04
  40   -0.76428517133595704536E+02    0.23039059726670529926E-06    0.10744107614604315548E-03    0.30392092589722442076E-04
  41   -0.76428516922535891354E+02    0.21105981318214617204E-06    0.94370785824840074281E-04    0.27092695680456134255E-04
  42   -0.76428516730163622128E+02    0.19237226922541594831E-06    0.82780931296776055534E-04    0.24164162100210019254E-04
  43   -0.76428516555584707248E+02    0.17457891487993038027E-06    0.72509149619597656014E-04    0.21566204163049344160E-04
  44   -0.76428516397753625711E+02    0.15783108153755165404E-06    0.63411634640101328638E-04    0.19262988932646221902E-04
  45   -0.76428516264397543978E+02    0.13335608173292712308E-06    0.55358788776830019501E-04    0.17220051325279981687E-04
  46   -0.76428516136651637680E+02    0.12774590629760496086E-06    0.48244529477905327859E-04    0.15417258190362103965E-04
  47   -0.76428516022171720579E+02    0.11447991710156202316E-06    0.41964954896843258136E-04    0.13821426230487608063E-04
  48   -0.76428515920642411174E+02    0.10152930940421356354E-06    0.36435105383605792117E-04    0.12413569004055242473E-04
  49   -0.76428515829388530278E+02    0.91253880896147165913E-07    0.31579194040977422186E-04    0.11174325161067752473E-04
  50   -0.76428515748181510503E+02    0.81207019775320077315E-07    0.27331833958296879470E-04    0.10086488761422044441E-04
  51   -0.76428515676066055562E+02    0.72115454941013013013E-07    0.23637087528447212108E-04    0.91356167967419091508E-05
  52   -0.76428515612159728221E+02    0.63906327341101132333E-07    0.20447428714699970100E-04    0.83092887352746823139E-05
  53   -0.76428515555653362412E+02    0.56506365808672853746E-07    0.17722798938871522494E-04    0.75972462096101179291E-05
  54   -0.76428515505813976461E+02    0.49839385951599979308E-07    0.15429156221573526775E-04    0.69914703204717810588E-05
  55   -0.76428515461985341517E+02    0.43828634943565702997E-07    0.13536231728843330560E-04    0.64864019231633034476E-05
  56   -0.76428515423588606836E+02    0.38396734680645749904E-07    0.12014205425753958194E-04    0.60793999864248576758E-05
  57   -0.76428515390113474837E+02    0.33475131999693985563E-07    0.10829424071492779833E-04    0.57715443194410399652E-05
  58   -0.76428515361190534350E+02    0.28922940487063897308E-07    0.99401685774180124238E-05    0.55689869824065613732E-05
  59   -0.76428515336498549004E+02    0.24691985345270950347E-07    0.92930526157837974575E-05    0.49695887306711137516E-05
  60   -0.76428515318292568281E+02    0.18205980722996173427E-07    0.88617866710507737414E-05    0.51048935074682333379E-05
  61   -0.76428515303038508932E+02    0.15254059348990267608E-07    0.85200837435495922089E-05    0.52774986647324828581E-05
  62   -0.76428515291679900656E+02    0.11358608276168524753E-07    0.82246820830853450463E-05    0.56310335064049810150E-05
  63   -0.76428515287372789544E+02    0.43071111122117144987E-08    0.79198992243490859053E-05    0.61686959259669146350E-05
  64   -0.76428515286169414367E+02    0.12033751772833056748E-08    0.75534593438151931714E-05    0.68274959035197262070E-05
  65   -0.76428515292194447284E+02   -0.60250329170230543241E-08    0.70827133306428182149E-05    0.73495613208129917382E-05
  66   -0.76428515306242857719E+02   -0.14048410434952529613E-07    0.65005612914537067872E-05    0.73867739028288248448E-05
  67   -0.76428515326505774397E+02   -0.20262916677893372253E-07    0.58557317273849384675E-05    0.69539864803180861941E-05
  68   -0.76428515349342333707E+02   -0.22836559310235315934E-07    0.52135266194237937014E-05    0.63463585390222121418E-05
  69   -0.76428515372102310721E+02   -0.22759977014175092336E-07    0.46100746727937348226E-05    0.57325291025200897366E-05
  70   -0.76428515393586479831E+02   -0.21484169110408402048E-07    0.40574286513008391697E-05    0.51615397516080463447E-05
  71   -0.76428515413365047948E+02   -0.19778568116635142360E-07    0.35568258067183523308E-05    0.46429979707607316186E-05
  72   -0.76428515431354099974E+02   -0.17989052025768614840E-07    0.31054660035409103502E-05    0.41753816930611975522E-05
  73   -0.76428515447616192091E+02   -0.16262092117358406540E-07    0.26993020448130596605E-05    0.37545924342907710525E-05
